X;Z;Interestingness;
80;70;0.1485149;
80;75;0.1485149;
80;170;0.1732673;
80;190;0.1237624;
80;195;0.1485149;
85;15;0.1237624;
85;20;0.1237624;
85;25;0.1237624;
85;30;0.1237624;
85;35;0.1237624;
85;40;0.1237624;
85;45;0.1237624;
85;50;0.1237624;
85;55;0.1237624;
85;60;0.0990099;
85;65;0.1485149;
85;70;0.1485149;
85;75;0.1237624;
85;165;0.2227723;
85;170;0.2227723;
85;190;0.1485149;
85;195;0.1485149;
90;15;0.1237624;
90;20;0.1237624;
90;25;0.1237624;
90;30;0.1237624;
90;35;0.1237624;
90;40;0.0990099;
90;45;0.1237624;
90;50;0.1237624;
90;55;0.1237624;
90;60;0.1485149;
90;65;0.1237624;
90;70;0.1237624;
90;170;0.1485149;
90;190;0.1237624;
90;195;0.1485149;
95;10;0.1237624;
95;15;0.0990099;
95;20;0.0990099;
95;25;0.1237624;
95;30;0.0990099;
95;35;0.0990099;
95;40;0.0990099;
95;45;0.0990099;
95;50;0.0990099;
95;55;0.1485149;
95;60;0.1485149;
95;65;0.1237624;
95;70;0.1237624;
100;5;0.1485149;
100;10;0.1237624;
100;15;0.1237624;
100;20;0.1237624;
100;25;0.0990099;
100;30;0.1237624;
100;35;0.1237624;
100;40;0.0990099;
100;45;0.1237624;
100;50;0.0990099;
100;55;0.1485149;
100;60;0.1237624;
100;65;0.1485149;
100;70;0.1485149;
105;5;0.1485149;
105;10;0.1237624;
105;15;0.1237624;
105;20;0.1237624;
105;25;0.1237624;
105;30;0.1237624;
105;35;0.1237624;
105;40;0.1237624;
105;45;0.1237624;
105;50;0.1485149;
105;55;0.1237624;
105;60;0.1485149;
105;65;0.1485149;
105;70;0.1485149;
105;185;0.1237624;
110;0;0.1485149;
110;5;0.1237624;
110;10;0.0990099;
110;15;0.0990099;
110;20;0.1237624;
110;25;0.1237624;
110;30;0.1237624;
110;35;0.1237624;
110;40;0.1237624;
110;45;0.1237624;
110;50;0.1237624;
110;55;0.1485149;
110;60;0.1485149;
110;65;0.1485149;
110;70;0.1485149;
115;0;0.1237624;
115;5;0.1237624;
115;10;0.1237624;
115;15;0.0990099;
115;20;0.1237624;
115;25;0.1237624;
115;30;0.1237624;
115;35;0.1237624;
115;40;0.1237624;
115;45;0.1485149;
115;50;0.1237624;
115;55;0.1237624;
115;60;0.1485149;
115;65;0.1485149;
115;70;0.1485149;
120;0;0.1237624;
120;5;0.1237624;
120;10;0.0990099;
120;15;0.0990099;
120;20;0.1237624;
120;25;0.1237624;
120;30;0.1237624;
120;35;0.1237624;
120;40;0.0990099;
120;45;0.1237624;
120;50;0.1237624;
120;55;0.1485149;
120;60;0.1485149;
120;65;0.1485149;
120;70;0.1485149;
120;75;0.1485149;
120;185;0.0990099;
120;190;0.1485149;
120;195;0.1237624;
125;0;0.0990099;
125;5;0.1237624;
125;10;0.0990099;
125;15;0.1237624;
125;20;0.0990099;
125;25;0.0990099;
125;30;0.1237624;
125;35;0.0990099;
125;40;0.0990099;
125;45;0.1485149;
125;50;0.1237624;
125;55;0.1237624;
125;60;0.1485149;
125;65;0.1485149;
125;70;0.1485149;
125;75;0.1485149;
125;165;0.1485149;
125;190;0.0990099;
125;195;0.1237624;
130;0;0.0990099;
