Coord;Interestingness
(-8.9, -2.3, 176.4);0.0001134579
(-9.1, -2.6, 177.3);0.0001129428
(-8.6, 1.2, 175.8);0.0001124323
(-8.2, 1.4, 174.9);0.0001119264
(-7.8, 1.5, 174.0);0.0001114251
(-7.3, 1.6, 173.1);0.0001109282
(-6.9, 1.8, 172.2);0.0001654703
(-6.5, 1.9, 171.3);0.0001643769
(-6.0, 2.0, 170.4);0.0001089842
(-5.6, 2.2, 169.6);0.0001625863
(-5.2, 2.3, 168.7);0.0001078035
(-4.7, 2.4, 167.8);0.0001608343
(-4.3, 2.6, 166.9);0.0001598011
(-3.8, 2.7, 166.0);0.0001059666
(-2.8, 2.9, 166.0);0.0001581082
(-1.8, 2.9, 165.9);0.0001571097
(-0.8, 3.0, 165.9);0.0001561236
(0.2, 3.0, 165.9);0.0001035407
(1.2, 3.0, 165.8);0.0001545074
(2.1, 3.0, 165.8);0.0001024743
(3.1, 3.0, 165.8);0.0001020539
(4.1, 3.0, 165.7);0.000101637
(5.1, 3.0, 165.7);0.0001012234
(6.1, 3.0, 165.7);0.0001510669
(7.1, 3.0, 165.6);0.0001501551
(8.1, 3.1, 165.6);0.0001492541
(9.1, 3.1, 165.6);0.0001483639
(10.1, 3.1, 165.5);0.0001474843
(11.1, 3.1, 165.5);0.000146615
(12.1, 3.1, 165.5);9.726547E-05
(13.1, 3.1, 165.5);9.688664E-05
(14.1, 3.1, 165.4);9.651075E-05
(15.1, 3.1, 165.4);9.613776E-05
(16.1, 3.2, 165.4);9.576764E-05
(17.1, 3.2, 165.3);0.0001429637
(18.1, 3.2, 165.3);0.0001421467
(19.1, 3.2, 165.3);0.0001413391
(20.1, 3.2, 165.2);0.0001405406
(21.1, 3.2, 165.2);0.000139751
(22.1, 3.2, 165.2);0.0001389703
(23.1, 3.2, 165.1);9.22174E-05
(24.1, 3.3, 165.1);9.187679E-05
(25.1, 3.3, 165.1);9.15387E-05
(26.1, 3.3, 165.0);9.120309E-05
