Coord;Interestingness
(15.1, 2.8, 30.2);0.001149254
(15.2, 2.8, 30.4);0.001140863
(15.3, 2.8, 30.6);0.001132593
(15.4, 2.8, 30.8);0.001124443
(15.5, 2.8, 31.0);0.001116408
(15.6, 2.8, 31.2);0.001108488
(15.7, 2.8, 31.4);0.00110068
(15.8, 2.8, 31.6);0.00109298
(15.9, 2.8, 31.8);0.001085388
(16.0, 2.8, 32.0);0.0010779
(16.1, 2.8, 32.2);0.001070515
(16.2, 2.8, 32.4);0.001063231
(16.3, 2.8, 32.6);0.001056044
(16.4, 2.8, 32.8);0.001048955
(16.5, 2.8, 33.0);0.00104196
(16.6, 2.8, 33.2);0.001035058
(16.7, 2.7, 33.4);0.0009428168
(16.8, 2.7, 33.6);0.0009371621
(16.9, 2.7, 33.8);0.0009315745
(17.0, 2.7, 34.0);0.0009260534
(17.1, 2.7, 34.2);0.0008371303
(17.2, 2.7, 34.4);0.0008326691
(17.3, 2.7, 34.6);0.0008282552
(17.4, 2.7, 34.8);0.000823888
(17.5, 2.7, 35.0);0.00090
