Coord;Interestingness
(-151.7, -3.4, 162.1);0.02
(-146.0, 0.5, 155.5);0.02
(-152.0, -3.8, 153.4);0.02
(-153.2, -4.6, 155.5);0.02
(-156.3, -6.1, 159.8);0.02
(-158.9, -7.1, 164.4);0.02
(0.0, 1.6, 0.0);0.02
(-4.3, 1.8, 9.0);0.02
(-8.6, 2.2, 18.1);0.02
(-12.9, 3.4, 27.1);0.02
(-17.2, 5.3, 36.1);0.02
(-21.5, 7.3, 45.1);0.02
(-25.8, 8.5, 54.2);0.02
(-30.1, 9.6, 63.2);0.02
(-34.4, 10.4, 72.2);0.02
(-38.7, 10.6, 81.2);0.0225
(-43.0, 10.2, 90.3);0.0225
(-47.3, 9.3, 99.3);0.0225
(-51.6, 7.8, 108.3);0.0125
(-55.9, 6.9, 117.3);0.01
(-60.2, 6.0, 126.4);0.0225
(-64.5, 5.0, 135.4);0.0125
(-68.8, 4.5, 144.4);0.02
(-73.1, 3.8, 153.5);0.02
(-77.4, 2.8, 162.5);0.0225
(-69.6, 2.2, 167.6);0.0225
(-74.6, 1.3, 170.3);0.0225
(-75.1, 0.9, 171.9);0.0225
(-74.8, 0.9, 171.9);0.0225
(-78.7, 2.1, 165.6);0.02
(-78.6, 1.9, 166.2);0.02
(-83.3, 0.2, 171.1);0.02
(-79.4, 2.5, 163.0);0.02
(-71.7, 2.2, 166.8);0.02
(-74.1, 3.2, 159.6);0.02
(-81.6, 1.8, 166.3);0.02
(-76.8, 0.9, 171.8);0.0225
(-81.0, 1.3, 168.4);0.02
(-86.5, 2.2, 162.3);0.02
(-89.9, 1.5, 164.6);0.02
(-98.0, -1.9, 170.5);0.02
(-100.6, -1.9, 170.0);0.02
(-99.1, 1
